Airline,Source,Source Name,Destination,Destination Name,Departure Date & Time,Arrival Date & Time,Duration (hrs),Stopovers,Aircraft Type,Class,Booking Source,Base Fare (BDT),Tax & Surcharge (BDT),Total Fare (BDT),Seasonality,Days Before Departure
Malaysian Airlines,CXB,Cox's Bazar Airport,CCU,"Netaji Subhas Chandra Bose International Airport, Kolkata",2025-11-17 06:25:00,2025-11-17 07:38:10,1.2195264539377717,Direct,Airbus A320,Economy,Online Website,21131.22502141266,5169.683753211899,26300.90877462456,Regular,10.0
Cathay Pacific,BZL,Barisal Airport,CGP,"Shah Amanat International Airport, Chittagong",2025-03-16 00:17:00,2025-03-16 00:53:31,0.6086380128173666,Direct,Airbus A320,First Class,Travel Agency,11605.395470566073,200.0,11805.395470566073,Regular,14.0
British Airways,ZYL,"Osmani International Airport, Sylhet",KUL,Kuala Lumpur International Airport,2025-12-13 12:03:00,2025-12-13 14:44:22,2.6896505565217104,1 Stop,Boeing 787,Economy,Travel Agency,39882.49934875141,11982.374902312711,51864.87425106412,Winter Holidays,83.0
Singapore Airlines,RJH,"Shah Makhdum Airport, Rajshahi",DAC,"Hazrat Shahjalal International Airport, Dhaka",2025-05-30 03:21:00,2025-05-30 04:02:09,0.6860536480181382,Direct,Airbus A320,Economy,Direct Booking,4435.607340298566,200.0,4635.607340298566,Regular,56.0
British Airways,SPD,Saidpur Airport,YYZ,Toronto Pearson International Airport,2025-04-25 09:14:00,2025-04-25 23:17:20,14.05560922703888,1 Stop,Airbus A350,Business,Direct Booking,59243.806145866125,14886.570921879918,74130.37706774604,Regular,90.0
IndiGo,ZYL,"Osmani International Airport, Sylhet",SPD,Saidpur Airport,2025-06-18 18:28:00,2025-06-18 19:33:06,1.085065740447081,Direct,Airbus A320,Business,Travel Agency,5036.394160331064,200.0,5236.394160331064,Regular,70.0
US-Bangla Airlines,SPD,Saidpur Airport,BZL,Barisal Airport,2025-10-25 22:41:00,2025-10-25 23:45:41,1.0781554879523396,Direct,Airbus A320,Business,Direct Booking,7397.669873630726,200.0,7597.669873630726,Regular,28.0
AirAsia,JSR,Jessore Airport,LHR,London Heathrow Airport,2025-12-28 01:38:00,2025-12-28 10:30:49,8.880375526991697,1 Stop,Airbus A350,Economy,Online Website,11946.813582613677,7792.022037392051,19738.835620005724,Winter Holidays,12.0
Etihad Airways,SPD,Saidpur Airport,KUL,Kuala Lumpur International Airport,2025-07-06 21:52:00,2025-07-07 01:09:46,3.296281693097868,Direct,Boeing 787,Business,Travel Agency,74973.62187091996,17246.043280637994,92219.66515155796,Regular,23.0
US-Bangla Airlines,DAC,"Hazrat Shahjalal International Airport, Dhaka",DEL,"Indira Gandhi International Airport, Delhi",2025-04-14 23:19:00,2025-04-15 01:54:44,2.595620253019129,Direct,Boeing 787,First Class,Direct Booking,116951.64544472432,19542.746816708648,136494.39226143298,Regular,41.0
